Ingredient,Refrigerator_Shelf_Life_Days,Pantry_Shelf_Life_Days
Carrots,18,7
Potatoes,21,60
Tomatoes,6,4
Onions,21,30
Broccoli,7,2
Spinach,4,1
Cabbage,14,7
Cauliflower,7,3
Bell Peppers,7,3
Zucchini,5,2
Eggplant,10,10
Cucumbers,7,2
Green Beans,7,2
Peas,5,2
Garlic,30,90
Ginger,21,30
Beetroot,14,7
Mushrooms,5,1
Radishes,10,3
Celery,10,5
Apples,28,7
Bananas,7,5
Oranges,21,7
Grapes,10,2
Mangoes,6,4
Pineapples,5,2
Papayas,5,2
Watermelons,7,3
Strawberries,5,1
Pomegranates,14,5
Avocados,5,3
Toor Dal,365,365
Chana Dal,365,365
Moong Dal,365,365
Masoor Dal,365,365
Urad Dal,365,365
Black Gram,365,365
Kabuli Chana,540,540
Basmati Rice,730,730
Sona Masoori Rice,730,730
Wheat Flour,180,240
Maida,180,240
Besan,120,180
Pasta,365,365
Noodles,365,365
Breakfast Cereal,180,180
Turmeric Powder,730,730
Red Chili Powder,730,730
Cumin Seeds,900,900
Mustard Seeds,900,900
Coriander Powder,365,365
Garam Masala,300,300
Tea,365,365
Salt,1825,1825
Sugar,1825,1825
Milk,5,0
Butter,60,7
Ghee,180,180
Eggs,21,2
Bread - White,5,3
Bread - Brown,5,3
Cooking Oil,300,300
Ketchup,180,365
Jam,180,365
Biscuit Pack,180,180
Dry Fruits Mix,180,120
amchur,120,120
cauliflower,15,12
fennel seeds,120,120
cardamompods,150,50
cinnamon sticks,150,50
star anise,150,50
amchur,180,80
black peppercorns,150,60
chaat masala,300,300
coriander seeds,300,80
soy chunks,100,50
